9982	7679
9987	7352
9991	7191
9981	6752
9766	6581
9770	6551
9403	6516
9983	6508
9764	6401
9984	6326
9765	6316
9950	6246
9954	6085
9420	6058
9949	5951
9501	5822
9951	5815
9769	5743
9620	5727
9988	5702
9986	5675
9621	5644
9357	5610
9358	5515
9989	5511
9424	5499
9624	5475
9405	5456
9994	5443
9500	5385
9971	5360
9622	5319
9366	5308
9421	5301
9423	5250
9408	5249
9768	5235
9302	5228
9941	5218
9425	5211
9404	5207
9367	5202
9767	5191
9428	5178
9361	5173
9623	5172
9363	5149
9948	5127
9368	5118
9922	5096
9369	5092
9961	5091
9426	5087
9364	5083
9365	5075
9414	5041
9980	5024
9626	4990
9353	4980
9969	4958
9362	4937
9340	4910
9947	4901
9943	4881
9953	4862
9944	4843
9429	4828
9993	4815
9427	4815
9959	4733
9418	4702
9957	4691
9964	4657
9356	4640
9967	4637
9400	4601
9352	4596
9354	4586
9844	4577
9544	4577
9307	4540
9305	4535
9985	4534
9303	4532
9416	4532
9509	4527
9351	4526
9310	4508
9311	4499
9350	4472
9308	4452
9342	4424
9540	4415
9334	4412
9407	4381
9785	4350
9329	4349
9313	4336
9309	4304
9413	4291
9415	4285
9822	4283
9321	4253
9417	4242
9320	4237
9977	4232
9955	4205
9301	4203
9312	4199
9979	4191
9625	4174
9333	4168
9330	4164
9921	4164
9923	4160
9541	4158
9341	4130
9779	4127
9739	4124
9300	4119
9306	4115
9612	4108
9402	4096
9331	4095
9777	4083
9317	4072
9930	4055
9996	4052
9332	4050
9627	4049
9813	4040
9338	4035
9401	4026
9883	4025
9815	4008
9359	3976
9888	3976
9628	3969
9826	3954
9542	3946
9570	3946
9721	3945
9823	3935
9343	3910
9774	3908
9824	3906
9843	3903
9932	3901
9890	3900
9322	3898
9327	3895
9595	3893
9776	3880
9318	3875
9453	3874
9339	3870
9657	3863
9939	3857
9909	3854
9355	3852
9335	3851
9672	3847
9877	3833
9751	3830
9738	3826
9629	3823
9572	3815
9565	3809
9846	3805
9825	3798
9881	3791
9880	3787
9828	3786
9797	3786
9840	3772
9842	3767
9974	3766
9819	3763
9931	3756
9314	3755
9775	3753
9782	3745
9900	3743
9929	3743
9845	3737
9411	3726
9912	3719
9337	3715
9452	3714
9662	3713
9422	3710
9571	3709
9733	3708
9543	3707
9521	3701
9760	3694
9787	3692
9324	3687
9875	3678
9522	3674
9508	3658
9560	3657
9789	3643
9667	3640
9520	3633
9740	3631
9325	3628
9850	3617
9664	3616
9455	3615
9796	3611
9882	3611
9580	3604
9968	3603
9784	3589
9780	3583
9669	3582
9590	3582
9663	3581
9519	3567
9614	3560
9562	3550
9658	3550
9537	3548
9326	3548
9665	3541
9849	3541
9457	3540
9497	3537
9710	3537
9561	3535
9668	3533
9820	3532
9758	3531
9794	3529
9821	3528
9456	3527
9913	3526
9749	3519
9978	3505
9661	3505
9906	3503
9486	3481
9566	3478
9874	3474
9788	3473
9973	3464
9757	3461
9907	3460
9752	3457
9545	3457
9829	3454
9818	3454
9652	3453
9917	3451
9412	3444
9660	3442
9690	3441
9783	3438
9328	3434
9670	3433
9563	3429
9683	3410
9841	3410
9873	3410
9577	3408
9736	3405
9847	3402
9504	3398
9594	3394
9650	3391
9448	3390
9908	3389
9450	3387
9459	3384
9651	3383
9827	3381
9747	3376
9634	3358
9640	3354
9656	3352
9551	3349
9655	3346
9619	3345
9755	3338
9323	3330
9506	3326
9642	3325
9319	3323
9458	3320
9575	3315
9892	3313
9781	3303
9963	3296
9552	3296
9499	3294
9720	3293
9945	3288
9578	3285
9719	3270
9876	3265
9786	3264
9792	3264
9935	3262
9666	3260
9574	3260
9573	3259
9576	3257
9872	3254
9798	3254
9523	3251
9745	3249
9643	3247
9933	3247
9659	3238
9684	3234
9814	3221
9790	3217
9502	3215
9791	3210
9915	3202
9440	3200
9862	3200
9990	3198
9870	3198
9653	3196
9507	3191
9718	3191
9970	3188
9498	3188
9737	3188
9485	3187
9889	3185
9488	3183
9454	3178
9564	3177
9491	3177
9729	3176
9920	3170
9866	3169
9645	3169
9671	3164
9505	3163
9771	3153
9753	3153
9490	3151
9410	3146
9569	3145
9778	3137
9674	3136
9756	3132
9673	3125
9677	3124
9748	3111
9860	3111
9503	3110
9934	3105
9610	3104
9592	3098
9799	3094
9795	3091
9743	3089
9492	3084
9641	3081
9568	3073
9924	3072
9553	3065
9531	3061
9717	3055
9585	3051
9546	3045
9730	3044
9754	3040
9484	3039
9487	3037
9635	3033
9722	3033
9549	3030
9864	3022
9451	3016
9958	3016
9496	3012
9633	3011
9834	3011
9762	3005
9593	3002
9489	3001
9999	2988
9995	2984
9725	2981
9598	2980
9644	2975
9734	2974
9547	2971
9533	2970
9649	2965
9727	2958
9494	2954
9867	2949
9597	2948
9925	2948
9865	2946
9724	2942
9630	2941
9927	2940
9898	2934
9446	2910
9532	2909
9444	2907
9615	2906
9940	2900
9443	2893
9848	2890
9675	2888
9447	2869
9534	2866
9409	2866
9726	2866
9584	2855
9442	2852
9587	2845
9905	2844
9493	2835
9952	2835
9812	2832
9744	2820
9613	2820
9731	2819
9838	2818
9539	2812
9639	2812
9596	2809
9654	2808
9732	2796
9406	2790
9548	2787
9861	2784
9589	2781
9992	2776
9582	2775
9965	2775
9723	2773
9956	2768
9713	2766
9946	2747
9579	2743
9910	2734
9942	2709
9871	2706
9759	2702
9735	2701
9646	2697
9495	2693
9449	2692
9901	2687
9926	2685
9857	2678
9761	2676
9616	2672
9868	2668
9793	2664
9728	2659
9481	2655
9869	2654
