552799	50528
556799	43120
559198	41107
551999	40660
551198	39297
554199	38153
551499	37540
559898	37538
551699	36157
555199	36146
552197	36119
551196	34978
556199	34530
552199	34339
556299	34090
553199	33132
552198	32680
551194	32368
551197	32330
551195	32330
554799	31179
559299	30925
551599	29766
556599	28444
551199	27877
556699	27297
551799	25366
552196	25300
552299	25287
551899	25144
556999	24392
553899	24155
558199	24097
558599	23837
559199	23716
559998	23667
553499	22416
554299	22283
551998	22015
554499	21978
553198	21683
557599	21238
558899	21131
558499	20841
559399	20619
551299	20352
559499	19785
558399	19350
556399	19345
554399	19249
551191	18887
552499	18757
551399	18563
557399	18355
553599	18334
558699	18235
559298	18201
557799	18132
555599	17700
555198	17547
556499	17341
553399	17186
554899	16982
554599	16773
558198	16557
555499	16544
557199	16442
557999	16332
558299	16305
554999	16245
557198	15758
556899	15341
558598	15213
551193	14431
557598	14338
556298	14316
556198	13387
551298	13379
558799	12925
557499	12807
554198	12622
558398	11786
557398	11761
553299	11387
553197	10980
552899	10930
559899	10440
553799	9861
559999	9698
554699	9302
556798	9297
559699	8924
558898	8864
559498	8533
552798	8297
551698	8141
559798	8001
558498	7936
559698	7880
554298	7738
558298	7736
558798	7659
554798	7568
557798	7550
551798	7473
555399	7318
558999	7177
558698	6937
553398	6867
552298	6681
557498	6545
551398	6539
559398	6443
559599	6210
556698	6017
554398	5728
553298	5722
554898	5391
552498	5375
553598	5371
551498	5338
558998	5274
551997	5267
556598	5222
554498	5095
557998	5060
553498	5059
559391	4988
554998	4933
553898	4886
556398	4473
559598	4455
556998	4337
551598	3929
559984	3880
559885	3798
556392	3796
554598	3636
551898	3631
556498	3628
559884	3573
559185	3339
556992	3283
559491	3277
559492	3264
558197	3262
556993	3193
559897	3080
556696	2884
559192	2865
559193	2805
556692	2732
556796	2720
558592	2688
559191	2569
559691	2565
559184	2524
559784	2478
556592	2467
559991	2436
559291	2427
559392	2403
554796	2391
559292	2358
556791	2348
559293	2324
554196	2298
556492	2258
559294	2254
555398	2251
555498	2249
559284	2225
556892	2219
551192	2151
554396	2143
559591	2104
555598	2099
554797	2090
556596	2073
559881	2072
556792	2062
558694	2013
559981	2005
553798	1965
556293	1916
558781	1916
558892	1889
554195	1889
559484	1859
558695	1837
559181	1837
559985	1831
559182	1826
559891	1822
552195	1793
558981	1790
558994	1780
551397	1772
556291	1750
554792	1746
554896	1745
554197	1744
556292	1739
558496	1731
557381	1721
556192	1698
556281	1681
556294	1677
558591	1675
556391	1672
559684	1655
558791	1649
559799	1638
554791	1624
556191	1620
559285	1617
555195	1609
556593	1593
558896	1590
559888	1590
555596	1574
556196	1566
555496	1565
558396	1528
555197	1527
553195	1503
554497	1499
558881	1494
559186	1492
555196	1483
557591	1480
556193	1470
556781	1465
556195	1447
556181	1443
553171	1429
553597	1426
558296	1416
553491	1405
558491	1398
553591	1366
558393	1355
554698	1337
554991	1319
557996	1319
559180	1317
556296	1314
553496	1300
553196	1298
559384	1281
558596	1270
558888	1250
554788	1230
557581	1214
558391	1211
558189	1208
556793	1188
555181	1183
557781	1181
558193	1177
557192	1156
554288	1153
559887	1149
553192	1146
553497	1144
556493	1144
556898	1141
558192	1127
557791	1124
558494	1118
558681	1108
556681	1103
559892	1100
557481	1094
558194	1093
558291	1090
557582	1069
553191	1068
557391	1068
558688	1065
557196	1064
559584	1064
554891	1064
558191	1063
559281	1063
556684	1062
558796	1057
559870	1057
555193	1053
555192	1046
554184	1044
557588	1035
558894	1034
559481	1029
555591	1025
553182	1023
558388	1019
558594	1013
553193	1002
559381	1001
557388	999
558293	997
551297	996
555180	996
557488	994
553897	989
556282	986
554187	986
556194	981
559286	976
557191	974
558196	970
554491	959
553891	947
559188	941
557592	934
558597	932
554188	927
554391	927
554192	924
557583	924
556984	908
558288	896
559681	895
558893	893
553183	881
555491	877
556384	869
554888	868
554988	863
556295	860
558492	858
558387	858
554384	857
559295	856
556581	856
557183	851
558386	847
557182	846
555191	835
554784	831
557788	828
557382	824
555189	816
558587	802
558585	800
553185	794
553172	792
558488	788
558788	788
554388	781
553187	780
559992	774
558588	774
553188	769
558487	769
553184	764
553384	754
555391	752
557181	747
556496	747
557193	743
555194	742
557184	740
558586	739
556182	736
558185	735
558281	733
556481	731
558897	730
556285	727
558381	725
553186	724
558589	722
554191	721
553189	721
556284	705
558195	699
559187	690
557491	689
557187	689
556584	684
559781	682
553284	678
554488	675
558188	668
558186	659
553484	656
557186	656
558187	656
553388	655
558581	653
553173	653
555185	652
557188	650
553584	642
553488	642
558184	638
556697	633
558287	631
